,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
0,분할,운송,법규_위반,군집,공역,설비,사용자,케이블,공역_체계,안_내용,확립,다기능,성분,검출,충격_완충,권,량,단위_검사,권_취,유해
1,수취,조절,플렛,개방,정확,폼,보상,이동_변위,카메라_중심축,포켓,용,마련,옵티컬_플로우,경계,고리,초음파_센서,개시_예시,분사_노즐,기류,충전부
2,연료전지_파워,스택,팩,탱크,도달,돌출부,연료전지,암부,프로그램,시간_단축,홀,장_탈착,단부,방사상,조립식,인명,체결_부재,용도,인입,공중
3,뿐,장점,장비_준비,공백_발생,때_치안,고장_수리,고장_부위,카메라_수리,필요_부품,때,수치_지도,최소,편집,구조,관리자,비용,지리,관제,업데이트,수리
4,공중비행,회전력_양력,사용_원,지시,임무_수행,정확,커넥터,상호,회전익,작업_효율,공중,반영,사람_접근,기준점,임무,향상,고가,오류,충전_단자,역할
5,그린,골프,골프장_그린,퍼팅,홀_컵,골프공,화합물_제조,골퍼,차원,방범,명세서,그린_퍼팅,컵,니스트,송신,수용체,평면,개선,농약,고정축
6,로터,연장,암,측,내장,단부,배터리,해제,복수,체결,결합,이격,접촉,후방,몸체,전원,쌍,모터,중심,서브
7,모션,회동,중심축,조정,시설,간,짐벌,인근,회전축,용부,송신,비료_농약,저장_탱크,오토,세트,역회전,개시_내용,정확,하면,에너지_소모
8,전기_자동차,이_차,밀도,최근,안전_확보,발열체,세그먼트,극_양극,응용_목표,황_공기,이온_전지,제품_상용,전력망_에너지,전지_수명,전망_고밀,차세대_전지,현존_리튬,주목_이유,전지_에너지,핵심_연구
9,펌프,흡입,토출,최적,분사,챔버,유입,분사_노즐,연통,라인,하방,압축_공기,유체,공기,조절,반경,배출,배,분기,배관
10,연계,자율_주행,봇_증강,현실,가상_현실,위성,스테레오_카메라,정합,부유,수면_부유,발광,간,접촉_지부,채취,관성_항법,색,태양광_패널,광,시험,비파괴_방식
11,충전_스테이션,소방차,전기_에너지,공급자,화재_현장,급,출발지,전환,수요자,광판,구획,조류,액티브,스캐너,시각_장애,보행,개구부,수중,분사,일회용
12,농약_살포,분야,컨트롤,급통,산업,농약,이벤트_발생,완충,용도,공중,사방,카트리지,통,편의_향상,명세서,무게,상,하향,소모,시동
13,원거리,곳,저감,향후,공진기,태양열,공급량,유,기존,단속,양식장,등분선,선분,간,진부,진보,배터리,보조부,높낮이,햇빛
14,변화,추진,조정,운항,로터,개방,송신,수상,보조,수중,구동_모터,검출,향상,배터리,스마트,날개,회전_날개,추력,데이터베이스,안전_사고
15,회전익,풍향,풍속,장,발전기,장소,여분,엔진,안전_삼각대,배터리,정리,내연_기관,교환,스포츠,케이지,용량,완화,가이드,어려움,농도
16,무인_행체,조절,경기장,양력,손상,게임,터,능력,길_방향,장애물_충돌,관통,방향,배터리,복합,가변,원격_조정,데,동력,사람_접근,경기
17,도화_이미지,영상_도화,실제_지형,지형_물,물_도화,변화_지형지물,반영_신뢰,대신_주기,도심지_집중,각종_건물,완성,지출_비행기,텀_비용,항공_촬영,적용,공간,이미지,지형지물,내,정확
18,소프트웨어,전처리,투하,육안,주간,차원,노출_배관,줄기,젼,인풋,스테레오,저항,측정기,외,히빙_라인,프로그램,맵,낙하,공중,접이식
19,정보,제어,비행,장치,시스템,이용,위치,방법,제공,촬영,영상,부,수신,가능,구비,이동,전송,어부,신호,이
20,체공_시간,바닥,통상,노출,맵,한정,속,구조_개선,소모,악취,측벽,방향_전환,충돌,추력,신뢰,상하_방향,하측,변화,갱신,임무_수행
21,번호,필름,카트리지,관찰,넥,교란,전원,집중,사진,휴대폰,호출,테두리,계류,범죄_취약,경찰,존재,귀가,검출,보호자,연계
22,기판,유용,한계_극복,전자,상자,조,유해_동물,전시,퇴치,자식,보스,종래,비젼,전술,기계,거동,팔,탄성체,홀더,실린더
23,입체,디지털,선풍기,동일,엘이디,손,신체,최종,송신,지형지물,상하_전후,증폭,간격,동력,원_격지,최적,처_리부,분산,간,중심
24,투하,검출,아군,폴,존재,피사체,종료,관심_영역,공진,포착,교류,기,존재_경우,방어,트,공중,개방,정확,소프트웨어,쉘
25,기존,부여,대비,임무,소형,추진력_발생,시간_대별,지역_상공,대기_오염,메인,시설,개발,기낭,임무_수행,대기,공중,기동,랜딩,약품,서브
26,로드,프리뷰,대상물,관리자_단말기,격납,영향,동력,살,순항,지침,댐_표면,이송,가공_전선,내구,입체,폴,이력,부호,일_측면,경량
27,피해_최소,파형,중앙_관제,고객,침입,방어,주파수_대역,이벤트,재산,기지국,상세,풍등,유해,유해_동물,정자,상해,열기,조절,통공,원활
28,화합물,조성물,허용,화학식_화합물,염,중간체,억제,약학,프릴,리신,정의,활성,작전,약학_조성물,그,식,불량,본원,양태,약제학
29,전선,사상,조종자,링,포렌식,가이드,강제,먹이,양측,차원,사고,채수기,지능,배터리_잔량,활동,투하,브래킷,이벤트_발생,허가,보도
